image file name,input text,1/0,confidence,processing time
black_spring.jpg,a black spring.,1,0.6197137236595154,2.2891740798950195
handsaw.jpg,a handsaw.,1,0.47139912843704224,2.2807352542877197
black_metal_file.jpg,a black metal file.,1,0.7200843095779419,2.2557175159454346
steel_bolt.jpg,a steel bolt.,0,0.32930782437324524,2.2866322994232178
screw_driver.jpg,a screw driver.,0,0.40681833028793335,2.112610101699829
pliers.jpg,a pliers.,1,0.5082515478134155,2.1247398853302
circular_ball_bearing.jpg,a circular ball bearing.,0,0.6355624198913574,2.2191011905670166
drill_bit.jpg,a drill bit.,1,0.6124516129493713,2.179415225982666
wooden_mallet.jpg,a wooden mallet.,1,0.40156903862953186,2.2544569969177246
hexagonal_nut.jpg,a hexagonal nut.,1,0.48551928997039795,2.08727765083313
wooden_chisel.jpg,a wooden chisel.,1,0.6711609363555908,2.3189573287963867
steel_ruler.jpg,a steel ruler.,1,0.7847252488136292,2.871535062789917
spanner.jpg,a spanner.,0,0.5299050211906433,2.279639482498169
yellow_paint_brush.jpg,a yellow paint brush.,1,0.7803138494491577,2.098447799682617
black_nail.jpg,a black nail.,0,0.6484646797180176,3.0961883068084717
black_circular_gear.jpg,a black circular gear.,1,0.7211283445358276,2.198249340057373
yellow_measuring_tape.jpg,a yellow measuring tape.,1,0.4988109767436981,3.7137644290924072
hammer.jpg,a hammer.,1,0.536019504070282,2.253293514251709
iron_screw.jpg,a iron screw.,1,0.46505075693130493,2.3305416107177734
allen_key.jpg,a allen key.,1,0.7753283977508545,2.1988353729248047
